muni_co,muni,dep_co,dep,votval,abelardo,ivan,paloma,votant
13060,TUCHIN,13,CORDOBA,13883,4055,8706,713,14066
28300,TOLU,28,SUCRE,13801,2946,10148,325,13953
31106,TULUA,31,VALLE,98087,41369,43107,5371,99660
07324,TUNUNGUA,07,BOYACA,950,645,230,40,957
23142,TUQUERRES,23,NARIÑO,20286,3078,15394,930,20713
05121,TURBANA,05,BOLIVAR,8482,2028,5995,164,8532
07001,TUNJA,07,BOYACA,102433,37018,44172,8612,103635
05118,TURBACO,05,BOLIVAR,37755,12311,22333,1060,38023
23139,TUMACO,23,NARIÑO,54250,7156,41334,3245,55220
01280,TURBO,01,ANTIOQUIA,43958,13435,26437,1683,44598
88770,TURQUIA,88,CONSULADOS,225,57,119,27,225
07325,TURMEQUE,07,BOYACA,3561,2076,909,261,3602
07328,TUTA,07,BOYACA,5685,2750,1947,485,5751
07331,TUTAZA,07,BOYACA,1306,727,336,129,1322
15298,UBALA,15,CUNDINAMARCA,4700,3176,923,352,4769
07334,UMBITA,07,BOYACA,3780,2703,632,240,3802
15301,UBAQUE,15,CUNDINAMARCA,4164,2580,951,338,4227
31109,ULLOA,31,VALLE,2558,992,1081,302,2622
15304,UBATE,15,CUNDINAMARCA,25625,13478,6787,2520,26112
17048,UNGUIA,17,CHOCO,3882,1221,2411,93,3910
15307,UNE,15,CUNDINAMARCA,4479,2717,992,422,4542
17060,UNION PANAMERICANA (LAS ANIMAS,17,CHOCO,2294,401,1631,117,2378
52074,URIBE,52,META,4962,442,4282,61,5040
01282,URAMITA,01,ANTIOQUIA,2811,1464,610,549,2862
48016,URIBIA,48,LA GUAJIRA,22269,8026,12551,521,22886
88805,URUGUAY,88,CONSULADOS,781,317,313,83,783
01283,URRAO,01,ANTIOQUIA,10593,6415,1979,1143,10775
48018,URUMITA,48,LA GUAJIRA,5310,2087,3036,47,5345
15316,UTICA,15,CUNDINAMARCA,3128,2504,359,152,3146
13061,VALENCIA,13,CORDOBA,12515,5561,6175,339,12616
01286,VALDIVIA,01,ANTIOQUIA,3395,1495,1387,183,3472
03061,USIACURI,03,ATLANTICO,4713,1391,2942,182,4752
27217,VALLE DE SAN JOSE,27,SANTANDER,3756,2510,745,296,3779
29118,VALLE DE SAN JUAN,29,TOLIMA,2788,1674,466,525,2821
64028,VALLE DEL GUAMUEZ (LA HORMIGA),64,PUTUMAYO,15068,1768,12120,187,15293
12001,VALLEDUPAR,12,CESAR,188358,84650,89773,4668,190265
01289,VALPARAISO,01,ANTIOQUIA,3165,1550,937,490,3202
44040,VALPARAISO,44,CAQUETA,2342,1498,587,87,2383
01290,VEGACHI,01,ANTIOQUIA,4822,3100,722,449,4892
01292,VENECIA,01,ANTIOQUIA,5672,3500,1035,785,5735
27220,VELEZ,27,SANTANDER,10180,5652,3145,790,10327
29121,VENADILLO,29,TOLIMA,6341,2842,2527,601,6454
88815,VENEZUELA,88,CONSULADOS,21601,14313,4352,2128,21751
15318,VENECIA,15,CUNDINAMARCA,2166,1097,823,146,2188
07337,VENTAQUEMADA,07,BOYACA,6924,3623,2205,516,7035
15319,VERGARA,15,CUNDINAMARCA,4148,2837,685,379,4180
27219,VETAS,27,SANTANDER,958,765,41,106,966
31112,VERSALLES,31,VALLE,3739,2086,788,603,3802
09127,VICTORIA,09,CALDAS,4504,2285,1155,428,4637
15322,VIANI,15,CUNDINAMARCA,2758,1643,685,278,2781
01291,VIGIA DEL FUERTE,01,ANTIOQUIA,2192,266,1663,145,2220
31115,VIJES,31,VALLE,6415,1591,3828,689,6494
25097,VILLA CARO,25,NORTE DE SAN,2349,2030,162,74,2363
07139,VILLA DE LEIVA,07,BOYACA,10037,5160,3142,778,10124
25100,VILLA DEL ROSARIO,25,NORTE DE SAN,46776,36138,5353,2111,47103
11098,VILLA RICA,11,CAUCA,10024,939,8512,238,10213
15323,VILLAGOMEZ,15,CUNDINAMARCA,1238,784,300,96,1251
29124,VILLAHERMOSA,29,TOLIMA,3286,1214,805,1006,3357
64030,VILLAGARZON,64,PUTUMAYO,10845,2719,7115,350,11035
05124,VILLANUEVA,05,BOLIVAR,7342,2916,3845,279,7453
09130,VILLAMARIA,09,CALDAS,31809,13096,10967,3558,32571
27221,VILLANUEVA,27,SANTANDER,4997,3280,757,606,5033
46880,VILLANUEVA,46,CASANARE,19647,11281,5436,1087,20257
29127,VILLARRICA,29,TOLIMA,2776,1769,569,335,2801
15325,VILLAPINZON,15,CUNDINAMARCA,10781,7402,1564,824,10907
48020,VILLANUEVA,48,LA GUAJIRA,9962,4316,5027,246,10080
52001,VILLAVICENCIO,52,META,258018,136730,78547,20462,260921
19091,VILLAVIEJA,19,HUILA,3937,1951,1608,182,3993
07340,VIRACACHA,07,BOYACA,1504,1073,221,109,1521
15331,VIOTA,15,CUNDINAMARCA,7156,3681,2554,591,7233
52080,VISTA HERMOSA,52,META,7495,3670,2894,372,7729
15334,YACOPI,15,CUNDINAMARCA,5337,3944,795,384,5392
15328,VILLETA,15,CUNDINAMARCA,16417,10548,3650,1106,16559
09133,VITERBO,09,CALDAS,7639,4100,1707,966,7784
23145,YACUANQUER,23,NARIÑO,5891,1236,4194,201,6022
19094,YAGUARA,19,HUILA,4764,2862,1427,192,4830
01295,YARUMAL,01,ANTIOQUIA,16156,9119,3096,1732,16518
01293,YALI,01,ANTIOQUIA,2393,1418,506,272,2427
01298,YOLOMBO,01,ANTIOQUIA,7588,3987,1615,1182,7718
68022,YAVARATE,68,VAUPES,353,7,319,12,355
01300,YONDO-CASABE,01,ANTIOQUIA,9173,4286,3711,403,9397
31121,YUMBO,31,VALLE,65405,14169,44723,2963,66046
31118,YOTOCO,31,VALLE,8325,2680,4636,505,8483
05127,ZAMBRANO,05,BOLIVAR,5021,1030,3889,32,5054
21090,ZAPAYAN,21,MAGDALENA,3904,2435,1200,158,3940
27223,ZAPATOCA,27,SANTANDER,5431,3615,1076,365,5473
46001,YOPAL,46,CASANARE,93390,54089,25755,5948,94609
31124,ZARZAL,31,VALLE,22316,6356,13457,1193,22601
01301,ZARAGOZA,01,ANTIOQUIA,6234,2263,3012,399,6413
15337,ZIPACON,15,CUNDINAMARCA,2935,1444,895,350,2994
07346,ZETAQUIRA,07,BOYACA,2815,1889,632,141,2831
15340,ZIPAQUIRA,15,CUNDINAMARCA,83769,29209,39011,5821,85160
21095,ZONA BANANERA (SEVILLA),21,MAGDALENA,20309,4436,14635,291,20618
