muni_co,muni,dep_co,dep,votval,abelardo,ivan,paloma,votant
07215,QUIPAMA,07,BOYACA,2410,1681,445,187,2445
15211,QUETAME,15,CUNDINAMARCA,3929,2300,1202,185,3968
27169,PUERTO WILCHES,27,SANTANDER,15252,5445,8480,656,15502
13034,PURISIMA,13,CORDOBA,6977,3679,2881,189,7068
15214,QUIPILE,15,CUNDINAMARCA,3663,2428,568,475,3693
25070,RAGONVALIA,25,NORTE DE SAN,2905,2417,185,180,2934
07217,RAMIRIQUI,07,BOYACA,5806,3528,1504,436,5865
07220,RAQUIRA,07,BOYACA,3735,2248,884,302,3786
05063,REGIDOR,05,BOLIVAR,2496,969,1431,31,2509
46760,RECETOR,46,CASANARE,781,477,187,64,793
03040,REPELON,03,ATLANTICO,10110,4475,4942,228,10238
01208,REMEDIOS,01,ANTIOQUIA,7918,3066,3584,294,8062
21058,REMOLINO,21,MAGDALENA,3590,1026,2364,51,3610
88685,REPUBLICA DOMINICANA,88,CONSULADOS,2101,1399,328,234,2105
88688,REPUBLICA DE SINGAPUR,88,CONSULADOS,196,86,32,52,196
31085,RESTREPO,31,VALLE,7879,3543,3354,480,8048
88370,REPUBLICA DE FILIPINAS,88,CONSULADOS,91,37,29,14,91
88690,REPUBLICA SOCIALISTA DE VIETNA,88,CONSULADOS,33,8,17,4,33
01211,RETIRO,01,ANTIOQUIA,17556,11323,2139,2825,17666
52050,RESTREPO,52,META,11625,6950,3030,851,11725
23109,RICAURTE,23,NARIÑO,6821,1241,5048,246,6949
17032,RIO IRO,17,CHOCO,1574,316,1078,79,1622
15218,RICAURTE,15,CUNDINAMARCA,8235,4451,2654,530,8306
17035,RIO QUITO (PAIMADO),17,CHOCO,3311,611,2359,138,3408
12750,RIO DE ORO,12,CESAR,9220,5598,2560,499,9333
31088,RIOFRIO,31,VALLE,8259,3460,3432,829,8419
29097,RIOBLANCO,29,TOLIMA,6633,3562,1723,808,6780
01214,RIONEGRO,01,ANTIOQUIA,99730,58712,18050,12987,100692
09103,RIOSUCIO,09,CALDAS,23537,9843,9331,2041,24143
48001,RIOHACHA,48,LA GUAJIRA,69900,26917,37453,2147,70779
27172,RIONEGRO,27,SANTANDER,14354,9499,2849,945,14593
17034,RIOSUCIO,17,CHOCO,5845,655,4914,106,5985
05065,RIOVIEJO,05,BOLIVAR,3300,1701,1358,100,3341
09106,RISARALDA,09,CALDAS,5178,2587,1112,865,5313
19064,RIVERA,19,HUILA,12402,6181,4708,726,12595
31091,ROLDANILLO,31,VALLE,19202,8798,7297,1518,19494
29100,RONCESVALLES,29,TOLIMA,1857,1114,377,228,1892
07223,RONDON,07,BOYACA,1347,917,276,97,1359
11070,ROSAS,11,CAUCA,5375,1369,3203,500,5590
29103,ROVIRA,29,TOLIMA,9861,5659,1952,1571,10023
03043,SABANAGRANDE,03,ATLANTICO,13436,4633,7952,197,13523
88700,RUSIA,88,CONSULADOS,175,31,111,11,175
23112,ROBERTO PAYAN (SAN JOSE),23,NARIÑO,4562,113,4325,36,4592
27174,SABANA DE TORRES,27,SANTANDER,15014,8005,5200,675,15340
46800,SABANALARGA,46,CASANARE,1982,1371,393,140,2002
21060,SABANAS DE SAN ANGEL,21,MAGDALENA,5459,2687,2162,425,5502
03046,SABANALARGA,03,ATLANTICO,39061,12642,24095,904,39333
01217,SABANALARGA,01,ANTIOQUIA,3507,2116,504,640,3546
01218,SABANETA,01,ANTIOQUIA,70950,43977,11895,6610,71369
46815,SACAMA,46,CASANARE,1087,312,621,66,1102
07226,SABOYA,07,BOYACA,6447,3777,1767,550,6565
13037,SAHAGUN,13,CORDOBA,45057,17443,25022,1242,45411
07232,SACHICA,07,BOYACA,3111,1648,837,244,3142
19067,SALADOBLANCO,19,HUILA,6283,4668,1028,307,6342
09109,SALAMINA,09,CALDAS,7372,3311,1495,1445,7568
21067,SALAMINA,21,MAGDALENA,3877,1681,2013,66,3895
25073,SALAZAR,25,NORTE DE SAN,5598,4599,464,253,5639
01220,SALGAR,01,ANTIOQUIA,5752,4025,454,921,5823
26090,SALENTO,26,QUINDIO,3774,2102,948,406,3827
09115,SAMANA,09,CALDAS,8667,4743,1588,1447,8893
23115,SAMANIEGO,23,NARIÑO,13058,1870,10468,249,13253
19070,SAN AGUSTIN,19,HUILA,15610,8483,5217,996,15796
07235,SAMACA,07,BOYACA,10466,5988,2519,913,10612
27175,SAN ANDRES,27,SANTANDER,3814,2510,731,386,3856
56001,SAN ANDRES,56,SAN ANDRES,16787,7404,7346,694,16896
01223,SAN ANDRES,01,ANTIOQUIA,2237,1202,427,265,2335
29105,SALDAÑA,29,TOLIMA,7418,3730,2234,963,7539
13040,SAN ANDRES DE SOTAVENTO,13,CORDOBA,16905,4800,10960,690,17066
29106,SAN ANTONIO,29,TOLIMA,5091,2786,1165,847,5187
13043,SAN ANTERO,13,CORDOBA,12275,5100,6315,372,12498
15220,SAN ANTONIO DEL TEQUENDAMA,15,CUNDINAMARCA,6263,3165,1977,634,6324
12800,SAN ALBERTO,12,CESAR,11519,5419,4921,353,11688
28180,SAN BENITO ABAD,28,SUCRE,10610,4371,5766,257,10662
15223,SAN BERNARDO,15,CUNDINAMARCA,4480,2595,1349,291,4523
27178,SAN BENITO,27,SANTANDER,1331,842,188,257,1345
28160,SAMPUES,28,SUCRE,20014,6100,12495,754,20259
23120,SAN BERNARDO,23,NARIÑO,4150,1578,2020,309,4209
13046,SAN BERNARDO DEL VIENTO,13,CORDOBA,12747,3764,8369,266,12831
12850,SAN DIEGO,12,CESAR,8841,4457,3854,184,8918
52055,SAN CARLOS DE GUAROA,52,META,6038,3223,1974,355,6174
05072,SAN CRISTOBAL,05,BOLIVAR,3637,1192,2285,62,3652
15226,SAN CAYETANO,15,CUNDINAMARCA,2322,1560,276,367,2337
07237,SAN EDUARDO,07,BOYACA,942,556,267,50,949
01226,SAN CARLOS,01,ANTIOQUIA,8722,5447,1498,1182,8801
25076,SAN CALIXTO,25,NORTE DE SAN,3588,441,2998,36,3635
05070,SAN ESTANISLAO,05,BOLIVAR,7230,3494,3101,314,7319
05073,SAN FERNANDO,05,BOLIVAR,3726,1899,1637,107,3750
50092,SAN FELIPE,50,GUAINIA,153,64,64,13,154
15229,SAN FRANCISCO,15,CUNDINAMARCA,6347,3805,1516,571,6418
01227,SAN FRANCISCO,01,ANTIOQUIA,2783,1686,438,453,2827
64013,SAN FRANCISCO,64,PUTUMAYO,2903,698,1851,208,2933
05076,SAN JACINTO,05,BOLIVAR,11044,5067,5173,531,11140
27181,SAN GIL,27,SANTANDER,32677,19168,8703,2288,32920
27184,SAN JOAQUIN,27,SANTANDER,1209,757,188,204,1227
05078,SAN JACINTO DEL CAUCA,05,BOLIVAR,3012,1589,1134,202,3033
01229,SAN JERONIMO,01,ANTIOQUIA,7566,4532,1463,983,7670
01230,SAN JOSE DE LA MONTAÑA,01,ANTIOQUIA,1569,927,191,194,1602
27187,SAN JOSE DE MIRANDA,27,SANTANDER,2915,1961,345,462,2939
44020,SAN JOSE DEL FRAGUA,44,CAQUETA,5130,2568,1930,197,5241
07238,SAN JOSE DE PARE,07,BOYACA,2959,1943,528,354,3004
